type,value,confidence,threat_type,malware_family,first_seen,sources
ip,104.171.117.216,,,,,alienvault_otx
ip,141.255.160.52,,,,,alienvault_otx
ip,185.10.58.170,,,,,alienvault_otx
domain,drivers-update.info,,,,,alienvault_otx
domain,kavkazcentr.info,,,,,alienvault_otx
domain,mail.g0v.pl,,,,,alienvault_otx
domain,n0vinite.com,,,,,alienvault_otx
domain,nato-press.com,,,,,alienvault_otx
domain,pass-google.com,,,,,alienvault_otx
domain,securitypractic.com,,,,,alienvault_otx
domain,ssl-icloud.com,,,,,alienvault_otx
domain,standartnevvs.com,,,,,alienvault_otx
domain,updatecenter.name,,,,,alienvault_otx
url,http://142.0.68.2/test-update-16-8852418/temp727612430/checkUpdate89732468.php,,,,,alienvault_otx
url,http://142.0.68.2/test-update-17-8752417/temp827612480/checkUpdate79832467.php,,,,,alienvault_otx
url,http://185.25.50.93/syshelp/kd8812u/protocol.php,,,,,alienvault_otx
url,http://185.25.50.93/tech99-04/litelib1/setwsdv4.php,,,,,alienvault_otx
url,http://185.25.50.93/techicalBS391-two/supptech18i/suppid.php,,,,,alienvault_otx
url,http://185.25.51.114/get-help-software/get-app-c/error-code-lookup.php,,,,,alienvault_otx
url,http://185.25.51.164/srv_upd_dest_two/destBB/en.php,,,,,alienvault_otx
url,http://185.25.51.198/get-data/searchId/get.php,,,,,alienvault_otx
url,http://185.25.51.198/stream-upd-service-two/definition/event.php,,,,,alienvault_otx
url,http://185.77.129.152/wWpYdSMRulkdp/arpz/MsKZrpUfe.php,,,,,alienvault_otx
hash_md5,1259c4fe5efd9bf07fc4c78466f2dd09,,,,,alienvault_otx
hash_md5,3b0ecd011500f61237c205834db0e13a,,,,,alienvault_otx
hash_md5,48656a93f9ba39410763a2196aabc67f,,,,,alienvault_otx
hash_md5,5882fda97fdf78b47081cc4105d44f7c,,,,,alienvault_otx
hash_md5,791428601ad12b9230b9ace4f2138713,,,,,alienvault_otx
hash_md5,8b92fe86c5b7a9e34f433a6fbac8bc3a,,,,,alienvault_otx
hash_md5,8c4fa713c5e2b009114adda758adc445,,,,,alienvault_otx
hash_md5,9eebfebe3987fec3c395594dc57a0c4c,,,,,alienvault_otx
hash_md5,da2a657dc69d7320f2ffc87013f257ad,,,,,alienvault_otx
hash_md5,ead4ec18ebce6890d20757bb9f5285b1,,,,,alienvault_otx
hash_sha1,17661a04b4b150a6f70afdabe3fd9839cc56bee8,,,,,alienvault_otx
hash_sha1,351c3762be9948d01034c69aced97628099a90b0,,,,,alienvault_otx
hash_sha1,3956cfe34566ba8805f9b1fe0d2639606a404cd4,,,,,alienvault_otx
hash_sha1,80dca565807fa69a75a7dd278cef1daaee34236e,,,,,alienvault_otx
hash_sha1,90c3b756b1bb849cba80994d445e96a9872d0cf5,,,,,alienvault_otx
hash_sha1,9b276a0f5fd824c3dff638c5c127567c65222230,,,,,alienvault_otx
hash_sha1,c2e8c584d5401952af4f1db08cf4b6016874ddac,,,,,alienvault_otx
hash_sha1,e742b917d3ef41992e67389cd2fe2aab0f9ace5b,,,,,alienvault_otx
hash_sha1,ed9f3e5e889d281437b945993c6c2a80c60fdedc,,,,,alienvault_otx
hash_sha1,ef755f3fa59960838fa2b37b7dedce83ce41f05c,,,,,alienvault_otx
hash_sha256,02c7cf55fd5c5809ce2dce56085ba43795f2480423a4256537bfdfda0df85592,,,,,alienvault_otx
hash_sha256,1f81609d9bbdc7f1d2c8846dcfc4292b3e2642301d9c59130f58e21abb0001be,,,,,alienvault_otx
hash_sha256,227b7fe495ad9951aebf0aae3c317c1ac526cdd255953f111341b0b11be3bbc5,,,,,alienvault_otx
hash_sha256,2a06f142d87bd9b66621a30088683d6fcec019ba5cc9e5793e54f8d920ab0134,,,,,alienvault_otx
hash_sha256,45a93e4b9ae5bece0d53a3a9a83186b8975953344d4dfb340e9de0015a247c54,,,,,alienvault_otx
hash_sha256,8bca0031f3b691421cb15f9c6e71ce193355d2d8cf2b190438b6962761d0c6bb,,,,,alienvault_otx
hash_sha256,96a19a90caa41406b632a2046f3a39b5579fbf730aca2357f84bf23f2cbc1fd3,,,,,alienvault_otx
hash_sha256,c1b8fc00d815e777e39f34a520342d1942ebd29695c9453951a988c61875bcd7,,,,,alienvault_otx
hash_sha256,cffa1d9fc336a1ad89af90443b15c98b71e679aeb03b3a68a5e9c3e7ecabc3d4,,,,,alienvault_otx
hash_sha256,fd8b2ea9a2e8a67e4cb3904b49c789d57ed9b1ce5bebfe54fe3d98214d6a0f61,,,,,alienvault_otx
email,morata_al@mail.com,,,,,alienvault_otx
email,olivier_servgr@mail.com,,,,,alienvault_otx
email,partanencomp@mail.com,,,,,alienvault_otx
